Distance (m)	Slope (deg)
0	7.33874
10	7.33874
20	25.16216
30	12.7092
40	4.01606
50	3.65962
60	3.89437
70	0.89212
80	2.6086
90	2.004
100	10.04469
110	4.11222
120	0.56802
130	12.25088
140	4.61262
150	6.78838
160	4.51931
170	5.01338
180	2.7963
190	8.82671
200	10.33815
210	17.62668
220	1.0119
230	0.29618
240	0.65993
250	2.1961
260	0.48851
270	1.00275
280	2.15496
290	2.27622
300	2.72067
310	0.38176
320	0.26379
330	0.53034
340	3.5487
350	3.84877
360	4.82694
370	6.13502
380	4.88242
390	7.12653
400	4.63941
410	3.6851
420	0.95541
430	2.8717
440	0.67647
450	1.05266
460	1.27376
470	1.34045
480	1.37351
490	1.40496
500	1.34058
510	0.87896
520	0.68398
530	0.95192
540	0.74554
550	0.70615
560	0.65561
570	0.90906
580	0.73253
590	0.64109
600	0.63283
610	0.58904
620	1.06086
630	0.59631
640	1.04341
650	0.45858
660	0.70348
670	0.36856
680	0.81189
690	0.95091
700	0.40036
710	0.82951
720	0.7141
730	0.45208
740	1.00907
750	1.02494
760	0.98147
770	0.58093
780	0.8298
790	0.38724
800	0.95098
810	0.67538
820	0.77199
830	0.7899
840	0.51209
850	0.79843
860	0.38031
870	0.6194
880	0.80268
890	0.33623
900	0.43561
910	0.86577
920	0.4432
930	0.52634
940	0.2444
950	0.70144
960	0.61701
970	0.54731
980	0.62807
990	0.50778
1000	0.35848
1010	0.52542
1020	0.54307
1030	0.75858
1040	0.78493
1050	0.70056
1060	0.93303
1070	0.24077
1080	0.48818
1090	0.65829
1100	0.41349
1110	0.66368
1120	0.73753
1130	0.5187
1140	0.35771
1150	0.3437
1160	0.48722
1170	0.36365
1180	0.14074
1190	0.08463
1200	0.34481
1210	0.39924
1220	0.32692
1230	0.56009
1240	0.56808
1250	0.44623
1260	0.33575
1270	0.37046
1280	0.07548
1290	0.48804
1300	0.53228
1310	0.53369
1320	0.26486
1330	0.32724
1340	0.5604
1350	0.00671
1360	0.886
1370	0.18115
1380	0.59695
1390	0.53784
1400	0.5022
1410	0.56956
1420	0.77996
1430	0.58014
1440	0.2663
1450	0.78542
1460	0.52066
1470	0.89138
1480	0.46057
1490	0.5504
1500	0.52843
1510	0.71863
1520	0.60081
1530	0.59849
1540	0.44622
1550	0.34526
1560	0.71018
1570	0.66235
1580	0.35227
1590	0.8439
1600	0.1425
1610	0.53468
1620	0.77316
1630	0.57648
1640	0.59556
1650	0.33402
1660	0.23395
1670	0.93685
1680	0.24535
1690	1.11484
1700	0.31076
1710	0.62331
1720	0.35206
1730	0.53697
1740	0.96446
1750	0.74281
1760	0.52582
1770	0.66887
1780	0.12187
1790	0.76362
1800	0.56141
1810	0.40419
1820	0.31638
1830	0.28709
1840	0.60408
1850	0.14904
1860	0.38612
1870	0.63037
1880	0.37721
1890	0.67985
1900	0.19457
1910	0.14853
1920	0.89593
1930	0.30345
1940	0.61113
1950	0.69248
1960	0.16584
1970	0.64901
1980	0.59875
1990	0.38165
2000	0.96822
2010	0.56966
2020	0.91997
2030	1.0199
2040	0.24098
2050	0.8151
2060	0.79936
2070	0.32563
2080	0.70243
2090	0.57148
2100	1.44426
2110	0.24101
2120	0.31994
2130	1.11477
2140	1.25008
2150	0.45272
2160	0.74569
2170	0.81376
2180	0.49724
2190	0.83068
2200	0.64826
2210	1.03739
2220	0.38182
2230	0.36122
2240	0.76726
2250	0.9666
2260	0.31833
2270	1.4693
2280	1.14786
2290	1.56764
2300	1.19544
2310	0.47502
2320	1.01566
2330	0.42969
2340	0.76622
2350	1.13637
2360	1.10745
2370	0.35329
2380	0.50917
2390	0.47152
2400	0.53689
2410	0.63885
2420	0.37751
2430	0.3894
2440	0.66082
2450	1.09598
2460	0.47628
2470	0.78449
2480	0.46382
2490	0.3663
2500	0.70918
2510	0.74941
2520	0.22337
2530	0.6655
2540	0.55622
2550	0.48345
2560	0.51174
2570	0.72052
2580	0.62996
2590	0.79857
2600	0.60591
2610	0.20857
2620	0.94563
2630	0.7062
2640	0.4711
2650	0.25231
2660	0.83663
2670	0.68763
2680	0.18763
2690	0.51919
2700	0.78296
2710	0.49419
2720	0.9852
2730	0.64232
2740	0.60017
2750	0.64188
2760	1.04722
2770	0.12907
2780	0.69535
2790	0.64443
2800	0.4243
2810	0.61083
2820	0.65276
2830	0.54725
2840	0.46408
2850	0.20725
2860	0.49975
2870	0.40601
2880	0.60795
2890	1.77455
2900	0.15998
2910	0.66371
2920	0.53739
2930	1.15527
2940	0.53508
2950	0.54313
2960	0.59761
2970	0.3997
2980	0.45944
2990	0.88075
3000	0.56301
3010	0.48637
3020	0.45165
3030	0.47219
3040	0.69421
3050	0.38817
3060	0.4307
3070	0.54934
3080	0.46486
3090	2.15478
3100	0.56688
3110	0.68907
3120	0.1993
3130	0.95185
3140	1.17944
3150	1.31617
3160	0.47346
3170	1.08042
3180	1.02748
3190	0.35637
3200	0.70677
3210	0.63478
3220	0.91879
3230	1.01906
3240	0.19453
3250	0.47231
3260	0.54406
