Distance (m),Slope (deg)
0,2.289865971
10,2.168311358
20,2.168311358
30,1.810764143
40,1.726679819
50,1.65996044
60,1.593241061
70,1.526521683
80,1.585765787
90,1.848333938
100,1.916552578
110,1.865675977
120,1.976807288
130,2.060891611
140,2.121601275
150,2.155451162
160,2.114945173
170,2.208032199
180,2.359478065
190,2.177187426
200,2.021943774
210,1.975967458
220,1.851443631
230,1.779541322
240,1.571823273
250,1.364105224
260,1.495974217
270,1.495974217
280,1.238201482
290,1.019116657
300,0.883305856
310,0.93958291
320,0.995859963
330,0.88427857
340,0.884284803
350,1.076452459
360,1.268620116
370,1.324892231
380,1.324892231
390,1.351815513
400,1.351815513
410,1.430450848
420,1.509994456
430,1.568343605
440,1.619215335
450,1.670087065
460,1.694035513
470,1.684170842
480,1.573898169
490,1.442098904
500,1.327495717
510,0.981742667
520,0.979384
530,0.951395333
540,0.905747333
550,0.887108
560,0.835294667
570,0.811191333
580,0.752391333
590,0.740692667
600,0.719664667
610,0.710329333
620,0.724020667
630,0.703634667
640,0.715228
650,0.702230667
660,0.683534
670,0.708066
680,0.734206667
690,0.760368667
700,0.728373333
710,0.743939333
720,0.700194667
730,0.733021333
740,0.731148
750,0.758043333
760,0.756577333
770,0.727322667
780,0.753860667
790,0.723914
800,0.717600667
810,0.740974
820,0.696118
830,0.656829333
840,0.649116
850,0.639934
860,0.619703333
870,0.610180667
880,0.593544667
890,0.589653333
900,0.574674667
910,0.563886
920,0.563598667
930,0.534268667
940,0.543942667
950,0.538854
960,0.535914
970,0.565827333
980,0.583490667
990,0.587974667
1000,0.574479333
1010,0.571935333
1020,0.599528
1030,0.580331333
1040,0.583442667
1050,0.596124
1060,0.588832667
1070,0.578828
1080,0.577842667
1090,0.575296
1100,0.563334667
1110,0.522145333
1120,0.475458667
1130,0.451742
1140,0.416156
1150,0.421899333
1160,0.426693333
1170,0.420679333
1180,0.422862
1190,0.401
1200,0.376528667
1210,0.346980667
1220,0.355669333
1230,0.368241333
1240,0.371339333
1250,0.364753333
1260,0.377186667
1270,0.408904667
1280,0.386364667
1290,0.418815333
1300,0.409097333
1310,0.411554667
1320,0.409538667
1330,0.41327
1340,0.428857333
1350,0.456157333
1360,0.489801333
1370,0.475018667
1380,0.491894667
1390,0.491026
1400,0.532794
1410,0.541682667
1420,0.541016
1430,0.575797333
1440,0.564639333
1450,0.592616667
1460,0.592719333
1470,0.586611333
1480,0.576148667
1490,0.585523333
1500,0.577682667
1510,0.562491333
1520,0.600998
1530,0.558136667
1540,0.559071333
1550,0.55119
1560,0.558917333
1570,0.561928
1580,0.548967333
1590,0.516655333
1600,0.539058
1610,0.515515333
1620,0.56009
1630,0.55779
1640,0.551998667
1650,0.531312667
1660,0.543626
1670,0.551663333
1680,0.591684
1690,0.591093333
1700,0.584140667
1710,0.553833333
1720,0.565037333
1730,0.580196667
1740,0.591546
1750,0.550181333
1760,0.552964
1770,0.518913333
1780,0.508132
1790,0.492319333
1800,0.510873333
1810,0.500222667
1820,0.481248667
1830,0.444699333
1840,0.419546667
1850,0.434684
1860,0.446789333
1870,0.436623333
1880,0.445361333
1890,0.429471333
1900,0.451646667
1910,0.472424
1920,0.457595333
1930,0.512207333
1940,0.524443333
1950,0.54375
1960,0.586596
1970,0.557338
1980,0.598706667
1990,0.642095333
2000,0.604075333
2010,0.630674
2020,0.628030667
2030,0.678149333
2040,0.683160667
2050,0.661222667
2060,0.695624
2070,0.753519333
2080,0.719152667
2090,0.730888
2100,0.723807333
2110,0.688963333
2120,0.728276667
2130,0.717154
2140,0.733022667
2150,0.736768667
2160,0.714021333
2170,0.727073333
2180,0.695229333
2190,0.700384
2200,0.777008
2210,0.779214
2220,0.800384667
2230,0.849899333
2240,0.831854667
