Distance (m),Slope (deg)
0,2.289865971
10,2.168311358
20,2.168311358
30,2.168311358
40,1.753602624
50,0.850825429
60,1.276120901
70,1.701275706
80,1.701275706
90,1.701275706
100,1.701275706
110,2.168311358
120,2.688802481
130,1.753651381
140,1.345139503
150,2.47919488
160,2.289865971
170,2.126243353
180,2.405260563
190,2.405260563
200,2.405260563
210,2.405260563
220,1.203160405
230,1.203160405
240,1.804409146
250,1.533593774
260,1.901944399
270,0.951234221
280,0.951234221
290,2.126243353
300,1.203160405
310,0
320,0
330,0.951268792
340,1.345173597
350,1.345173597
360,1.345173597
370,1.203204036
380,1.345173597
390,1.345173597
400,1.345173597
410,1.345173597
420,1.53363657
430,1.345173597
440,1.753651381
450,1.90197885
460,1.753617644
470,1.701275706
480,1.701275706
490,1.701275706
500,1.276120901
510,0.850825429
520,2.168311358
530,2.168311358
540,1.753602624
550,0.951234221
560,0.425436169
570,1.345124841
580,1.901944399
590,0.951234221
600,0
610,1.203160405
620,1.901944399
630,1.901944399
640,1.901944399
650,1.345124841
660,0
670,1.203160405
680,1.345124841
690,1.345124841
700,1.901944399
710,1.203160405
720,0
730,0
740,1.345124841
750,0.951234221
760,1.203204036
770,1.203204036
780,0.951268792
790,0
800,0.951234221
810,1.345124841
820,0.850825429
830,1.345124841
840,0.425436169
850,1.203160405
860,1.203160405
870,0
880,0.951234221
890,1.753602624
900,1.753602624
910,0.951234221
920,0.951234221
930,1.345124841
940,1.533593774
950,1.203160405
960,1.203160405
970,1.203160405
980,0
990,1.203160405
1000,1.203160405
1010,1.203160405
1020,2.405260563
1030,1.203160405
1040,0
1050,0
1060,1.203160405
1070,1.203160405
1080,1.203160405
1090,1.203160405
1100,0
1110,0.425451607
1120,1.345173597
1130,0.951268792
1140,1.203160405
1150,0.951234221
1160,0.951234221
1170,0.951234221
1180,1.203160405
1190,0
1200,0
1210,0.951234221
1220,1.345124841
1230,1.345124841
1240,1.901944399
1250,1.345124841
1260,0
1270,0
1280,0.425436169
1290,1.276120901
1300,0.850825429
1310,1.276120901
1320,1.276120901
1330,0
1340,1.276120901
1350,0.425436169
1360,0.425436169
1370,1.345124841
1380,0.425436169
1390,0.425436169
1400,1.345124841
1410,0.425436169
1420,0
1430,1.203160405
1440,1.345124841
1450,2.126243353
1460,2.47919488
1470,1.901944399
1480,2.405304194
1490,2.289914608
1500,1.75363636
1510,3.42595005
1520,2.550976992
1530,1.753602624
1540,2.586117029
1550,2.97543025
1560,1.701275706
1570,0.425436169
1580,1.276120901
1590,1.701275706
1600,1.276120901
1610,0.425436169
1620,1.276120901
1630,1.753602624
1640,1.345124841
1650,1.533593774
1660,1.533593774
1670,1.345124841
1680,1.203160405
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,1.203160405
1770,1.203160405
1780,1.203160405
1790,1.203160405
1800,1.203160405
1810,0
1820,0
1830,1.276120901
1840,0.951234221
1850,0
1860,0
1870,0
1880,1.203160405
1890,1.276120901
1900,0.425436169
1910,0
1920,1.345173597
1930,0.951268792
1940,0
1950,0.951234221
1960,0.951234221
1970,1.203160405
1980,0
1990,0
2000,0.425436169
2010,0.951234221
2020,0.951234221
2030,0
2040,0
2050,0
2060,0
2070,0.951234221
2080,1.203160405
2090,0
2100,0
2110,0
2120,0.425436169
2130,1.276120901
2140,0.425436169
2150,0
2160,0
2170,0
2180,0.425436169
2190,0.951234221
2200,1.345124841
2210,1.345124841
2220,1.203160405
2230,0.951234221
2240,0
2250,0
2260,0
2270,0
2280,0
2290,1.203160405
2300,1.203160405
2310,0.601646543
2320,0.425436169
2330,1.203160405
2340,1.203160405
2350,0.951234221
2360,0.425436169
2370,1.276120901
2380,1.276120901
2390,1.276120901
2400,1.276120901
2410,1.345124841
